company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
SoftFinity Careers,Computer Software,,[],San Francisco,CA,,1999.0,,,1 to 50 employees,,,,,www.softfinity.com,,,,DDD-teamblind-com
Voyager Careers,Financial Services,,[],Jersey City,NJ,,2017.0,,,1 to 50 employees,,,,,www.investvoyager.com,,,,DDD-teamblind-com
DNSFilter Careers,Internet,,[],Washington,DC,,2015.0,,,1 to 50 employees,,,,,www.dnsfilter.com,,,,DDD-teamblind-com
LeetCode Careers,Information Technology & Services,,[],Palo Alto,CA,,2015.0,,,1 to 50 employees,,,,,www.leetcode.com,,,,DDD-teamblind-com
R1 RCM Careers,Hospital & Health Care,,[],Chicago,IL,,2003.0,,,"10,000+ employees",,,,,www.r1rcm.com,,,,DDD-teamblind-com
NEX Careers,Financial Services,,[],London,United Kingdom,,2016.0,,,"1,001 to 5,000 employees",,,,,www.nex.com,,,,DDD-teamblind-com
ICBC Careers,Financial Services,,[],Vancouver,BC,,1973.0,,,"1,001 to 5,000 employees",,,,,www.icbc.com,,,,DDD-teamblind-com
Foot Locker Careers,Retail,,[],New York,NY,,1974.0,,,"10,000+ employees",,,,,www.footlocker.com,,,,DDD-teamblind-com
class central Careers,E-learning,,[],Mountain View,CA,,2011.0,,,1 to 50 employees,,,,,www.classcentral.com,,,,DDD-teamblind-com
Paddy Power Betfair Careers,Entertainment,,[],Dublin,Ireland,,2016.0,,,"5,001 to 10,000 employees",,,,,www.paddypowerbetfair.jobs,,,,DDD-teamblind-com
Coty Careers,Cosmetics,,[],Amsterdam,Netherlands,,1904.0,,,"10,000+ employees",,,,,www.coty.com,,,,DDD-teamblind-com
Dtex Systems Careers,Computer Software,,[],San Jose,CA,,2002.0,,,51 to 200 employees,,,,,www.dtexsystems.com,,,,DDD-teamblind-com
HARVEST POINT MINISTRIES Careers,Religious Institutions,,[],La Porte,TX,,2008.0,,,1 to 50 employees,,,,,harvestpointministries.org,,,,DDD-teamblind-com
WEX Careers,Financial Services,,[],Portland,ME,,1983.0,,,"1,001 to 5,000 employees",,,,,www.wexinc.com,,,,DDD-teamblind-com
